ID,Project,File Upload Id,Mark,Quantity,Area,Location,Door Ref,Door Size,Door Width,Door Height,Door Thickness,Door Material,Fire Rating,Frame Ref,Frame Size,Frame Width,Frame Height,Frame Throat,Hardware Ref,Remarks,Extra,Hardware Sets,Sync to Openings
2767,"""Tru_Israel, IL""","""Tru_Israel, IL 2025-06-30 20:42""",335,,,,,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,20-min.,,,,,,29,,ID: D-05; ROOM NAME: STORAGE; MATERIAL: SC WOOD; TYPE: ---; HEAD: ---; JAMB: ---; SILL: ---; ACC.: ---; STC: ---; REMARKS: ---,,
2768,"""Tru_Israel, IL""","""Tru_Israel, IL 2025-06-30 20:42""",336,,,,,"6'-0"" x 7'-0""","6'-0""","7'-0""","1 3/4""",,90-min.,,,,,,5,,ID: D-06; ROOM NAME: CORRIDOR; MATERIAL: SC WOOD; TYPE: ---; HEAD: ---; JAMB: ---; SILL: ---; ACC.: ---; STC: ---; REMARKS: ---,,
2769,"""Tru_Israel, IL""","""Tru_Israel, IL 2025-06-30 20:42""",336,,,,,"6'-0"" x 7'-0""","6'-0""","7'-0""","1 3/4""",,90-min.,,,,,,30,,ID: D-06; ROOM NAME: CORRIDOR; MATERIAL: SC WOOD; TYPE: ---; HEAD: ---; JAMB: ---; SILL: ---; ACC.: ---; STC: ---; REMARKS: ---,,
2770,"""Tru_Israel, IL""","""Tru_Israel, IL 2025-06-30 20:42""",402,,,,,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,20-min.,,,,,,1,,ID: D-05; ROOM NAME: KING; MATERIAL: SC WOOD; TYPE: ---; HEAD: ---; JAMB: ---; SILL: ---; ACC.: ---; STC: ---; REMARKS: ---,,
2771,"""Tru_Israel, IL""","""Tru_Israel, IL 2025-06-30 20:42""",403,,,,,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,20-min.,,,,,,1,,ID: D-05; ROOM NAME: KING; MATERIAL: SC WOOD; TYPE: ---; HEAD: ---; JAMB: ---; SILL: ---; ACC.: ---; STC: ---; REMARKS: ---,,
2772,"""Tru_Israel, IL""","""Tru_Israel, IL 2025-06-30 20:42""",404,,,,,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,20-min.,,,,,,2,,ID: D-04; ROOM NAME: DBL QUEEN; MATERIAL: SC WOOD; TYPE: ---; HEAD: ---; JAMB: ---; SILL: ---; ACC.: ---; STC: ---; REMARKS: ---,,
2773,"""Tru_Israel, IL""","""Tru_Israel, IL 2025-06-30 20:42""",405,,,,,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,20-min.,,,,,,1,,ID: D-05; ROOM NAME: KING; MATERIAL: SC WOOD; TYPE: ---; HEAD: ---; JAMB: ---; SILL: ---; ACC.: ---; STC: ---; REMARKS: ---,,
2774,"""Tru_Israel, IL""","""Tru_Israel, IL 2025-06-30 20:42""",406,,,,,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,20-min.,,,,,,2,,ID: D-04; ROOM NAME: DBL QUEEN; MATERIAL: SC WOOD; TYPE: ---; HEAD: ---; JAMB: ---; SILL: ---; ACC.: ---; STC: ---; REMARKS: ---,,
2775,"""Tru_Israel, IL""","""Tru_Israel, IL 2025-06-30 20:42""",407,,,,,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,20-min.,,,,,,1,,ID: D-05; ROOM NAME: KING; MATERIAL: SC WOOD; TYPE: ---; HEAD: ---; JAMB: ---; SILL: ---; ACC.: ---; STC: ---; REMARKS: ---,,
2776,"""Tru_Israel, IL""","""Tru_Israel, IL 2025-06-30 20:42""",408,,,,,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,20-min.,,,,,,2,,ID: D-04; ROOM NAME: DBL QUEEN; MATERIAL: SC WOOD; TYPE: ---; HEAD: ---; JAMB: ---; SILL: ---; ACC.: ---; STC: ---; REMARKS: ---,,
2777,"""Tru_Israel, IL""","""Tru_Israel, IL 2025-06-30 20:42""",409,,,,,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,60-min.,,,,,,3,,ID: D-05; ROOM NAME: DBL QUEEN; MATERIAL: SC WOOD; TYPE: ---; HEAD: ---; JAMB: ---; SILL: ---; ACC.: ---; STC: ---; REMARKS: ---,,
2778,"""Tru_Israel, IL""","""Tru_Israel, IL 2025-06-30 20:42""",410,,,,,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,20-min.,,,,,,2,,ID: D-04; ROOM NAME: DBL QUEEN; MATERIAL: SC WOOD; TYPE: ---; HEAD: ---; JAMB: ---; SILL: ---; ACC.: ---; STC: ---; REMARKS: ---,,
2779,"""Tru_Israel, IL""","""Tru_Israel, IL 2025-06-30 20:42""",411,,,,,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,20-min.,,,,,,1,,ID: D-05; ROOM NAME: KING; MATERIAL: SC WOOD; TYPE: ---; HEAD: ---; JAMB: ---; SILL: ---; ACC.: ---; STC: ---; REMARKS: ---,,
2780,"""Tru_Israel, IL""","""Tru_Israel, IL 2025-06-30 20:42""",412,,,,,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,20-min.,,,,,,2,,ID: D-04; ROOM NAME: DBL QUEEN; MATERIAL: SC WOOD; TYPE: ---; HEAD: ---; JAMB: ---; SILL: ---; ACC.: ---; STC: ---; REMARKS: ---,,
2781,"""Tru_Israel, IL""","""Tru_Israel, IL 2025-06-30 20:42""",413,,,,,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,20-min.,,,,,,1,,ID: D-05; ROOM NAME: KING; MATERIAL: SC WOOD; TYPE: ---; HEAD: ---; JAMB: ---; SILL: ---; ACC.: ---; STC: ---; REMARKS: ---,,
2782,"""Tru_Israel, IL""","""Tru_Israel, IL 2025-06-30 20:42""",414,,,,,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,20-min.,,,,,,2,,ID: D-04; ROOM NAME: DBL QUEEN; MATERIAL: SC WOOD; TYPE: ---; HEAD: ---; JAMB: ---; SILL: ---; ACC.: ---; STC: ---; REMARKS: ---,,
2783,"""Tru_Israel, IL""","""Tru_Israel, IL 2025-06-30 20:42""",415,,,,,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,20-min.,,,,,,1,,ID: D-05; ROOM NAME: KING; MATERIAL: SC WOOD; TYPE: ---; HEAD: ---; JAMB: ---; SILL: ---; ACC.: ---; STC: ---; REMARKS: ---,,
2784,"""Tru_Israel, IL""","""Tru_Israel, IL 2025-06-30 20:42""",416,,,,,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,20-min.,,,,,,2,,ID: D-04; ROOM NAME: DBL QUEEN; MATERIAL: SC WOOD; TYPE: ---; HEAD: ---; JAMB: ---; SILL: ---; ACC.: ---; STC: ---; REMARKS: ---,,
2785,"""Tru_Israel, IL""","""Tru_Israel, IL 2025-06-30 20:42""",417,,,,,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,60-min.,,,,,,3,,ID: D-05; ROOM NAME: DBL QUEEN; MATERIAL: SC WOOD; TYPE: ---; HEAD: ---; JAMB: ---; SILL: ---; ACC.: ---; STC: ---; REMARKS: ---,,
2786,"""Tru_Israel, IL""","""Tru_Israel, IL 2025-06-30 20:42""",418,,,,,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,20-min.,,,,,,2,,ID: D-04; ROOM NAME: ACC PREM KING; MATERIAL: SC WOOD; TYPE: ---; HEAD: ---; JAMB: ---; SILL: ---; ACC.: ---; STC: ---; REMARKS: ---,,
2787,"""Tru_Israel, IL""","""Tru_Israel, IL 2025-06-30 20:42""",419,,,,,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,20-min.,,,,,,1,,ID: D-05; ROOM NAME: PREM KING; MATERIAL: SC WOOD; TYPE: ---; HEAD: ---; JAMB: ---; SILL: ---; ACC.: ---; STC: ---; REMARKS: ---,,
2788,"""Tru_Israel, IL""","""Tru_Israel, IL 2025-06-30 20:42""",420A,,,,,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,,,,,,29,,ID: D-05; ROOM NAME: ELEV LOBBY; MATERIAL: SC WOOD; TYPE: ---; HEAD: ---; JAMB: ---; SILL: ---; ACC.: ---; STC: ---; REMARKS: ---,,
2789,"""Tru_Israel, IL""","""Tru_Israel, IL 2025-06-30 20:42""",420B,,,,,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,,,,,,29,,ID: D-16; ROOM NAME: ICE; MATERIAL: SC WOOD; TYPE: ---; HEAD: ---; JAMB: ---; SILL: ---; ACC.: ---; STC: ---; REMARKS: ---,,
2790,"""Tru_Israel, IL""","""Tru_Israel, IL 2025-06-30 20:42""",421,,,,,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,20-min.,,,,,,2,,ID: D-04; ROOM NAME: DBL QUEEN; MATERIAL: SC WOOD; TYPE: ---; HEAD: ---; JAMB: ---; SILL: ---; ACC.: ---; STC: ---; REMARKS: ---,,
2791,"""Tru_Israel, IL""","""Tru_Israel, IL 2025-06-30 20:42""",422C,,,,,"2'-8"" x 7'-0""","2'-8""","7'-0""","1 3/4""",,,,,,,,29,,ID: D-03; ROOM NAME: ELEC; MATERIAL: SC WOOD; TYPE: ---; HEAD: ---; JAMB: ---; SILL: ---; ACC.: ---; STC: ---; REMARKS: ---,,
2792,"""Tru_Israel, IL""","""Tru_Israel, IL 2025-06-30 20:42""",423,,,,,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,20-min.,,,,,,2,,ID: D-04; ROOM NAME: DBL QUEEN; MATERIAL: SC WOOD; TYPE: ---; HEAD: ---; JAMB: ---; SILL: ---; ACC.: ---; STC: ---; REMARKS: ---,,
2793,"""Tru_Israel, IL""","""Tru_Israel, IL 2025-06-30 20:42""",424,,,,,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,20-min.,,,,,,2,,ID: D-04; ROOM NAME: DBL QUEEN; MATERIAL: SC WOOD; TYPE: ---; HEAD: ---; JAMB: ---; SILL: ---; ACC.: ---; STC: ---; REMARKS: ---,,
2794,"""Tru_Israel, IL""","""Tru_Israel, IL 2025-06-30 20:42""",425,,,,,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,20-min.,,,,,,1,,ID: D-05; ROOM NAME: KING; MATERIAL: SC WOOD; TYPE: ---; HEAD: ---; JAMB: ---; SILL: ---; ACC.: ---; STC: ---; REMARKS: ---,,
2795,"""Tru_Israel, IL""","""Tru_Israel, IL 2025-06-30 20:42""",426,,,,,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,20-min.,,,,,,2,,ID: D-04; ROOM NAME: DBL QUEEN; MATERIAL: SC WOOD; TYPE: ---; HEAD: ---; JAMB: ---; SILL: ---; ACC.: ---; STC: ---; REMARKS: ---,,
2796,"""Tru_Israel, IL""","""Tru_Israel, IL 2025-06-30 20:42""",427,,,,,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,20-min.,,,,,,1,,ID: D-05; ROOM NAME: KING; MATERIAL: SC WOOD; TYPE: ---; HEAD: ---; JAMB: ---; SILL: ---; ACC.: ---; STC: ---; REMARKS: ---,,
2797,"""Tru_Israel, IL""","""Tru_Israel, IL 2025-06-30 20:42""",428,,,,,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,20-min.,,,,,,2,,ID: D-04; ROOM NAME: PREM KING; MATERIAL: SC WOOD; TYPE: ---; HEAD: ---; JAMB: ---; SILL: ---; ACC.: ---; STC: ---; REMARKS: ---,,
2798,"""Tru_Israel, IL""","""Tru_Israel, IL 2025-06-30 20:42""",429,,,,,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,60-min.,,,,,,3,,ID: D-05; ROOM NAME: DBL QUEEN; MATERIAL: SC WOOD; TYPE: ---; HEAD: ---; JAMB: ---; SILL: ---; ACC.: ---; STC: ---; REMARKS: ---,,
2799,"""Tru_Israel, IL""","""Tru_Israel, IL 2025-06-30 20:42""",430,,,,,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,20-min.,,,,,,2,,ID: D-04; ROOM NAME: PREM KING; MATERIAL: SC WOOD; TYPE: ---; HEAD: ---; JAMB: ---; SILL: ---; ACC.: ---; STC: ---; REMARKS: ---,,
2800,"""Tru_Israel, IL""","""Tru_Israel, IL 2025-06-30 20:42""",431,,,,,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,20-min.,,,,,,1,,ID: D-05; ROOM NAME: PREM KING; MATERIAL: SC WOOD; TYPE: ---; HEAD: ---; JAMB: ---; SILL: ---; ACC.: ---; STC: ---; REMARKS: ---,,
2801,"""Tru_Israel, IL""","""Tru_Israel, IL 2025-06-30 20:42""",432,,,,,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,20-min.,,,,,,2,,ID: D-04; ROOM NAME: DBL QUEEN; MATERIAL: SC WOOD; TYPE: ---; HEAD: ---; JAMB: ---; SILL: ---; ACC.: ---; STC: ---; REMARKS: ---,,
2802,"""Tru_Israel, IL""","""Tru_Israel, IL 2025-06-30 20:42""",433,,,,,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,20-min.,,,,,,1,,ID: D-05; ROOM NAME: KING; MATERIAL: SC WOOD; TYPE: ---; HEAD: ---; JAMB: ---; SILL: ---; ACC.: ---; STC: ---; REMARKS: ---,,
2803,"""Tru_Israel, IL""","""Tru_Israel, IL 2025-06-30 20:42""",435,,,,,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,20-min.,,,,,,29,,ID: D-05; ROOM NAME: STORAGE; MATERIAL: SC WOOD; TYPE: ---; HEAD: ---; JAMB: ---; SILL: ---; ACC.: ---; STC: ---; REMARKS: ---,,
2804,"""Tru_Israel, IL""","""Tru_Israel, IL 2025-06-30 20:42""",436,,,,,"6'-0"" x 7'-0""","6'-0""","7'-0""","1 3/4""",,90-min.,,,,,,5,,ID: D-06; ROOM NAME: CORRIDOR; MATERIAL: SC WOOD; TYPE: ---; HEAD: ---; JAMB: ---; SILL: ---; ACC.: ---; STC: ---; REMARKS: ---,,
2805,"""Tru_Israel, IL""","""Tru_Israel, IL 2025-07-01 19:19""",,,,,,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,,,,,,26,,ID: D-01; MATERIAL: HM,,
2806,"""Tru_Israel, IL""","""Tru_Israel, IL 2025-07-01 19:19""",,,,,,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,,,,,,6,,ID: D-01; MATERIAL: HM,,
2807,"""Tru_Israel, IL""","""Tru_Israel, IL 2025-07-01 19:19""",,,,,,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,,,,,,21,,ID: D-01; MATERIAL: HM,,
2808,"""Tru_Israel, IL""","""Tru_Israel, IL 2025-07-01 19:19""",,,,,,"3'-0"" x 8'-0""","3'-0""","8'-0""","1 3/4""",,,,,,,,6,,ID: D-02; MATERIAL: HM,,
2809,"""Tru_Israel, IL""","""Tru_Israel, IL 2025-07-01 19:19""",,,,,,"3'-0"" x 8'-0""","3'-0""","8'-0""","1 3/4""",,,,,,,,6,,ID: SF1; MATERIAL: ALUM / GLASS,,
2810,"""Tru_Israel, IL""","""Tru_Israel, IL 2025-07-01 19:19""",,,,,,"3'-0"" x 8'-0""","3'-0""","8'-0""","1 3/4""",,,,,,,,6,,ID: SF2; MATERIAL: ALUM / GLASS,,
2811,"""Tru_Israel, IL""","""Tru_Israel, IL 2025-07-01 19:19""",,,,,,"6'-0"" x 8'-0""","6'-0""","8'-0""","1 3/4""",,,,,,,,8,,ID: SF3; MATERIAL: ALUM / GLASS,,
2812,"""Tru_Israel, IL""","""Tru_Israel, IL 2025-07-01 19:19""",,,,,,"6'-0"" x 8'-0""","6'-0""","8'-0""","1 3/4""",,,,,,,,7,,ID: SF5; MATERIAL: ALUM / GLASS,,
2813,"""Tru_Israel, IL""","""Tru_Israel, IL 2025-07-01 19:19""",102,,MEN RR,,,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,,,,,,11,,ID: D-05; MATERIAL: SC WOOD,,
2814,"""Tru_Israel, IL""","""Tru_Israel, IL 2025-07-01 19:19""",103,,BOARD ROOM,,,"6'-0"" x 7'-0""","6'-0""","7'-0""","1 3/4""",,,,,,,,23,,ID: D-06; MATERIAL: SC WOOD,,
2815,"""Tru_Israel, IL""","""Tru_Israel, IL 2025-07-01 19:19""",103,,BOARD ROOM,,,"3'-10"" x 11'-6""","3'-10""","11'-6""","1 3/4""",,,,,,,,23,,ID: D-13; MATERIAL: Undefined; STC: None,,
2816,"""Tru_Israel, IL""","""Tru_Israel, IL 2025-07-01 19:19""",103,,BOARD ROOM,,,"34'-7"" x 11'-6""","34'-7""","11'-6""","1 3/4""",,,,,,,,,,ID: D-14; MATERIAL: Undefined,,
2817,"""Tru_Israel, IL""","""Tru_Israel, IL 2025-07-01 19:19""",104,,WOMEN RR,,,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,,,,,,11,,ID: D-05; MATERIAL: SC WOOD,,
2818,"""Tru_Israel, IL""","""Tru_Israel, IL 2025-07-01 19:19""",106,,KITCHEN,,,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,45-min.,,,,,,27,,ID: D-01; MATERIAL: SC WOOD,,
2819,"""Tru_Israel, IL""","""Tru_Israel, IL 2025-07-01 19:19""",106,,KITCHEN,,,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,45-min.,,,,,,20,,ID: D-05; MATERIAL: SC WOOD; REMARKS: TWO-WAY SWING,,
2820,"""Tru_Israel, IL""","""Tru_Israel, IL 2025-07-01 19:19""",106,,KITCHEN,,,"9'-8"" x 5'-4""","9'-8""","5'-4""","1 3/4""",,,,,,,,,,ID: D-10; MATERIAL: Undefined,,
2821,"""Tru_Israel, IL""","""Tru_Israel, IL 2025-07-01 19:19""",106,,KITCHEN,,,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,45-min.,,,,,,20,,ID: D-15; MATERIAL: SC WOOD,,
2822,"""Tru_Israel, IL""","""Tru_Israel, IL 2025-07-01 19:19""",107,,PREFUNCTION,,,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,,,,,,31,,ID: D-06; MATERIAL: SC WOOD,,
2823,"""Tru_Israel, IL""","""Tru_Israel, IL 2025-07-01 19:19""",108,,BANQUET STORAGE,,,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,,,,,,18,,ID: D-09; MATERIAL: SC WOOD,,
2824,"""Tru_Israel, IL""","""Tru_Israel, IL 2025-07-01 19:19""",109,,BUFFET,,,"12'-0"" x 8'-0""","12'-0""","8'-0""","1 3/4""",,,,,,,,,,ID: D-11; MATERIAL: Undefined,,
2825,"""Tru_Israel, IL""","""Tru_Israel, IL 2025-07-01 19:19""",111,,DINING,,,"11'-10"" x 10'-6""","11'-10""","10'-6""","1 3/4""",,,,,,,,4,,ID: D-12; MATERIAL: ALUM / GLASS,,
2826,"""Tru_Israel, IL""","""Tru_Israel, IL 2025-07-01 19:19""",112,,DRY STORAGE,,,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,,,,,,21,,ID: D-01; MATERIAL: HM,,
2827,"""Tru_Israel, IL""","""Tru_Israel, IL 2025-07-01 19:19""",116A,,STAFF BREAK ROOM,,,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,,,,,,15,,ID: D-01; MATERIAL: HM,,
2828,"""Tru_Israel, IL""","""Tru_Israel, IL 2025-07-01 19:19""",116A,,STAFF BREAK ROOM,,,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,45-min.,,,,,,27,,ID: D-05; MATERIAL: SC WOOD,,
2829,"""Tru_Israel, IL""","""Tru_Israel, IL 2025-07-01 19:19""",117,,VESTIBULE A,,,"12'-0"" x 8'-0""","12'-0""","8'-0""","1 3/4""",,,,,,,,7,,ID: SF6; MATERIAL: ALUM / GLASS; REMARKS: AUTOMATIC DOORS,,
2830,"""Tru_Israel, IL""","""Tru_Israel, IL 2025-07-01 19:19""",118,,VESTIBULE A,,,"12'-0"" x 8'-0""","12'-0""","8'-0""","1 3/4""",,,,,,,,7,,ID: SF6; MATERIAL: ALUM / GLASS; REMARKS: AUTOMATIC DOORS,,
2831,"""Tru_Israel, IL""","""Tru_Israel, IL 2025-07-01 19:19""",119,,RECEPTION,,,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,,,,,,10,,ID: D-05; MATERIAL: SC WOOD,,
2832,"""Tru_Israel, IL""","""Tru_Israel, IL 2025-07-01 19:19""",120A,,ELEV LOBBY,,,"3'-0"" x 8'-0""","3'-0""","8'-0""","1 3/4""",,,,,,,,7,,ID: SF5; MATERIAL: ALUM / GLASS,,
2833,"""Tru_Israel, IL""","""Tru_Israel, IL 2025-07-01 19:19""",122B,,ELECRICAL,,,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,,,,,,21,,ID: D-05; MATERIAL: SC WOOD,,
2834,"""Tru_Israel, IL""","""Tru_Israel, IL 2025-07-01 19:19""",122C,,ELEVATOR EQUIPMENT,,,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,,,,,,12,,ID: D-01; MATERIAL: HM,,
2835,"""Tru_Israel, IL""","""Tru_Israel, IL 2025-07-01 19:19""",123A,,WORK AREA,,,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,,,,,,18,,ID: D-05; MATERIAL: SC WOOD,,
2836,"""Tru_Israel, IL""","""Tru_Israel, IL 2025-07-01 19:19""",123B,,MANAGER,,,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,,,,,,21,,ID: D-09; MATERIAL: SC WOOD,,
2837,"""Tru_Israel, IL""","""Tru_Israel, IL 2025-07-01 19:19""",124A,,LAUNDRY,,,"2'-8"" x 7'-0""","2'-8""","7'-0""","1 3/4""",,45-min.,,,,,,19,,ID: D-03; MATERIAL: HM,,
2838,"""Tru_Israel, IL""","""Tru_Israel, IL 2025-07-01 19:19""",124A,,LAUNDRY,,,"3'-6"" x 7'-0""","3'-6""","7'-0""","1 3/4""",,,,,,,,18,,ID: D-07; MATERIAL: SC WOOD,,
2839,"""Tru_Israel, IL""","""Tru_Israel, IL 2025-07-01 19:19""",124B,,HOUSE KEEPING,,,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,,,,,,21,,ID: D-01; MATERIAL: SC WOOD,,
2840,"""Tru_Israel, IL""","""Tru_Israel, IL 2025-07-01 19:19""",125,,PBX,,,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,,,,,,21,,ID: D-01; MATERIAL: HM,,
2841,"""Tru_Israel, IL""","""Tru_Israel, IL 2025-07-01 19:19""",126A,,LINEN,,,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,,,,,,18,,ID: D-01; MATERIAL: HM,,
2842,"""Tru_Israel, IL""","""Tru_Israel, IL 2025-07-01 19:19""",127A,,STORAGE,,,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,,,,,,18,,ID: D-09; MATERIAL: SC WOOD,,
2843,"""Tru_Israel, IL""","""Tru_Israel, IL 2025-07-01 19:19""",127B,,GUEST LAUNDRY,,,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,,,,,,29,,ID: D-16; MATERIAL: SC WOOD,,
2844,"""Tru_Israel, IL""","""Tru_Israel, IL 2025-07-01 19:19""",128,,DBL QUEEN,,,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,,,,,,2,,ID: D-04; MATERIAL: SC WOOD,,
2845,"""Tru_Israel, IL""","""Tru_Israel, IL 2025-07-01 19:19""",128,,DBL QUEEN,,,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,20-min.,,,,,,1,,ID: D-05; MATERIAL: SC WOOD,,
2846,"""Tru_Israel, IL""","""Tru_Israel, IL 2025-07-01 19:19""",129,,FITNESS CENTER,,,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,,,,,,8,,ID: D-08; MATERIAL: SC WOOD,,
2847,"""Tru_Israel, IL""","""Tru_Israel, IL 2025-07-01 19:19""",130,,ACC DBL QUEEN,,,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,,,,,,2,,ID: D-04; MATERIAL: SC WOOD,,
2848,"""Tru_Israel, IL""","""Tru_Israel, IL 2025-07-01 19:19""",130,,ACC DBL QUEEN,,,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,20-min.,,,,,,1,,ID: D-05; MATERIAL: SC WOOD,,
2849,"""Tru_Israel, IL""","""Tru_Israel, IL 2025-07-01 19:19""",132,,DBL QUEEN,,,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,,,,,,2,,ID: D-04; MATERIAL: SC WOOD,,
2850,"""Tru_Israel, IL""","""Tru_Israel, IL 2025-07-01 19:19""",132,,DBL QUEEN,,,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,20-min.,,,,,,1,,ID: D-05; MATERIAL: SC WOOD,,
2851,"""Tru_Israel, IL""","""Tru_Israel, IL 2025-07-01 19:19""",133,,KING,,,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,,,,,,2,,ID: D-04; MATERIAL: SC WOOD,,
2852,"""Tru_Israel, IL""","""Tru_Israel, IL 2025-07-01 19:19""",133,,KING,,,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,20-min.,,,,,,1,,ID: D-05; MATERIAL: SC WOOD,,
2853,"""Tru_Israel, IL""","""Tru_Israel, IL 2025-07-01 19:19""",135A,,ICE,,,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,,,,,,29,,ID: D-16; MATERIAL: SC WOOD,,
2854,"""Tru_Israel, IL""","""Tru_Israel, IL 2025-07-01 19:19""",136,,CORRIDOR,,,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,90-min.,,,,,,5,,ID: D-05; MATERIAL: SC WOOD,,
2855,"""Tru_Israel, IL""","""Tru_Israel, IL 2025-07-01 19:19""",136,,CORRIDOR,,,"3'-0"" x 8'-0""","3'-0""","8'-0""","1 3/4""",,,,,,,,8,,ID: SF1; MATERIAL: ALUM / GLASS,,
2856,"""Tru_Israel, IL""","""Tru_Israel, IL 2025-07-01 19:19""",201,,MECHANICAL,,,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,20-min.,,,,,,29,,ID: D-05; MATERIAL: SC WOOD,,
2857,"""Tru_Israel, IL""","""Tru_Israel, IL 2025-07-01 19:19""",202,,KING,,,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,,,,,,2,,ID: D-04; MATERIAL: SC WOOD,,
2858,"""Tru_Israel, IL""","""Tru_Israel, IL 2025-07-01 19:19""",202,,KING,,,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,20-min.,,,,,,1,,ID: D-05; MATERIAL: SC WOOD,,
2859,"""Tru_Israel, IL""","""Tru_Israel, IL 2025-07-01 19:19""",203,,KING,,,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,,,,,,2,,ID: D-04; MATERIAL: SC WOOD,,
